지점,지점명,일시,SPI3
146,전주,23/09/2023,2.07
146,전주,24/09/2023,2.05
146,전주,25/09/2023,2.08
146,전주,26/09/2023,2.03
146,전주,27/09/2023,2.04
146,전주,28/09/2023,1.92
146,전주,29/09/2023,1.8
146,전주,30/09/2023,1.76
146,전주,01/10/2023,1.84
146,전주,02/10/2023,1.84
146,전주,03/10/2023,1.91
146,전주,04/10/2023,1.79
146,전주,05/10/2023,1.75
146,전주,06/10/2023,1.81
146,전주,07/10/2023,1.78
146,전주,08/10/2023,1.78
146,전주,09/10/2023,1.85
146,전주,10/10/2023,1.92
146,전주,11/10/2023,2.01
146,전주,12/10/2023,2.08
146,전주,13/10/2023,2.1
146,전주,14/10/2023,1.2
146,전주,15/10/2023,1.06
146,전주,16/10/2023,1.06
146,전주,17/10/2023,1.02
146,전주,18/10/2023,0.82
146,전주,19/10/2023,0.91
146,전주,20/10/2023,0.95
146,전주,21/10/2023,0.95
146,전주,22/10/2023,0.98
146,전주,24/10/2023,0.65
146,전주,25/10/2023,0.51
146,전주,26/10/2023,0.38
146,전주,27/10/2023,0.39
146,전주,28/10/2023,0.41
146,전주,29/10/2023,0.42
146,전주,30/10/2023,0.3
146,전주,31/10/2023,0.31
146,전주,01/11/2023,0.34
146,전주,02/11/2023,0.38
146,전주,03/11/2023,0.45
146,전주,04/11/2023,0
146,전주,05/11/2023,0.62
146,전주,06/11/2023,0.67
146,전주,07/11/2023,0.74
146,전주,08/11/2023,0.71
146,전주,09/11/2023,0.78
146,전주,10/11/2023,0.01
146,전주,11/11/2023,0.04
146,전주,12/11/2023,0.04
146,전주,13/11/2023,0.09
146,전주,14/11/2023,0.13
146,전주,15/11/2023,0.17
146,전주,16/11/2023,0.32
146,전주,17/11/2023,0.41
146,전주,18/11/2023,0.44
146,전주,19/11/2023,0.48
146,전주,20/11/2023,0.54
146,전주,21/11/2023,0.61
146,전주,22/11/2023,0.63
146,전주,23/11/2023,0.57
146,전주,24/11/2023,0.54
146,전주,25/11/2023,0.62
146,전주,26/11/2023,0.71
146,전주,27/11/2023,0.78
146,전주,28/11/2023,0.84
146,전주,29/11/2023,0.9
146,전주,30/11/2023,0.82
146,전주,01/12/2023,0.88
146,전주,02/12/2023,0.97
146,전주,03/12/2023,0.53
146,전주,04/12/2023,0.53
146,전주,05/12/2023,0.6
146,전주,06/12/2023,0.68
146,전주,07/12/2023,0.74
146,전주,08/12/2023,0.78
146,전주,09/12/2023,0.84
146,전주,10/12/2023,0.84
146,전주,11/12/2023,1.21
146,전주,12/12/2023,1.28
146,전주,13/12/2023,1.15
146,전주,14/12/2023,1.23
146,전주,15/12/2023,1.56
146,전주,16/12/2023,1.43
146,전주,17/12/2023,1.55
146,전주,18/12/2023,1.6
146,전주,19/12/2023,1.68
146,전주,20/12/2023,1.45
146,전주,21/12/2023,1.51
146,전주,22/12/2023,1.52
146,전주,23/12/2023,1.58
146,전주,24/12/2023,1.68
146,전주,25/12/2023,1.66
146,전주,26/12/2023,1.6
146,전주,27/12/2023,1.55
146,전주,28/12/2023,1.56
146,전주,29/12/2023,1.66
